Name,Description,r-testis
ENSG00000271419.1,RP4-591B8.3,1
ENSG00000250341.1,RP11-785F11.1,1
ENSG00000230361.1,VN1R32P,1
ENSG00000225612.1,AC099552.2,1
ENSG00000244235.2,RP11-589C21.1,1
ENSG00000270688.1,RP11-507D14.4,1
ENSG00000283232.1,Cyp2c44,1
ENSG00000255171.5,LINC01499,1
ENSG00000204449.3,TRIM49C,1
ENSG00000257400.1,RP11-778J16.3,1
ENSG00000256286.1,RP11-983C2.3,1
ENSG00000259572.5,LINC01491,1
ENSG00000259465.2,AHCYP7,1
ENSG00000280283.1,CTA-481E9.2,1
ENSG00000273098.1,RP11-488L1.1,1
ENSG00000267075.1,RP11-434D2.3,1
ENSG00000262081.2,IL9RP4,1
ENSG00000281379.2,SEPT14P19,1
ENSG00000271655.1,BNIP3P35,1
ENSG00000273872.1,SLC25A15P4,1
ENSG00000229025.1,AP001595.1,1
ENSG00000173673.7,HES3,1
ENSG00000182330.10,PRAMEF8,1
ENSG00000236648.1,RP11-473A10.2,1
ENSG00000235143.1,RP1-65J11.5,1
ENSG00000232846.1,SLC25A6P3,1
ENSG00000178193.5,RP4-682C21.5,1
ENSG00000260322.1,RP11-339A11.2,1
ENSG00000237460.2,LINC01661,1
ENSG00000235005.1,RP11-195M16.1,1
ENSG00000236012.2,HIGD1AP12,1
ENSG00000263590.2,RP11-403I13.7,1
ENSG00000226716.1,AL589986.2,1
ENSG00000279111.2,OR10X1,1
ENSG00000232223.1,CNN2P10,1
ENSG00000235378.2,MRPS10P1,1
ENSG00000260976.1,LINC01633,1
ENSG00000261182.1,RP11-201A3.1,1
ENSG00000226196.1,GAPDHP75,1
ENSG00000284376.1,RP11-543B16.3,1
ENSG00000226211.1,RP11-453O22.1,1
ENSG00000234419.1,CICP13,1
ENSG00000236636.2,RP11-211A18.1,1
ENSG00000271475.1,RP4-799G3.1,1
ENSG00000259776.1,RP11-544D21.2,1
ENSG00000241128.1,OR14A2,1
ENSG00000153230.4,OR14K1,1
ENSG00000235403.1,AC114808.3,1
ENSG00000235537.1,AC009411.2,1
ENSG00000223530.1,AC012506.1,1
ENSG00000230737.1,AC106870.1,1
ENSG00000138068.10,SULT6B1,1
ENSG00000226473.2,AC079807.1,1
ENSG00000231781.1,AC079896.1,1
ENSG00000283214.1,RP4-614C10.5,1
ENSG00000224095.1,LINC01935,1
ENSG00000227680.1,AC108051.2,1
ENSG00000229209.1,AC073987.1,1
ENSG00000227513.1,AC114755.3,1
ENSG00000227738.1,AC092646.2,1
ENSG00000236956.1,NF1P8,1
ENSG00000237910.1,MTCO1P18,1
ENSG00000230065.1,AC010974.3,1
ENSG00000224028.1,LINC01853,1
ENSG00000257284.1,RP11-190J23.1,1
ENSG00000268580.1,LINC01966,1
ENSG00000229434.1,AC017048.1,1
